NAME_PY,NAME_CH,NAME_FT,X_COOR,Y_COOR,PERS_LOC,TYPE_PY,TYPE_CH,LEV_RANK,BEG_YR,BEG_RULE,END_YR,END_RULE,NOTE_ID,OBJ_TYPE,SYS_ID,GEO_SRC,COMPILER,GECOMPLR,CHECKER,ENT_DATE,BEG_CHG_TY,END_CHG_TY
Nanhai Jun,南海郡,南海郡,0.0,0.0,,Jun,郡,3,538,4,589,4,92261,POLYGON,92261,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区变化
Guang Zhou,广州,廣州,0.0,0.0,,Zhou,州,3,590,4,590,4,92262,POLYGON,92262,FROM_FD,张修桂,满志敏,,2005/01/31,辖区变化,辖区扩大
Guang Zhou,广州,廣州,0.0,0.0,,Zhou,州,3,591,4,599,4,92263,POLYGON,92263,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,辖区扩大
Guang Zhou,广州,廣州,0.0,0.0,,Zhou,州,3,600,4,600,4,92264,POLYGON,92264,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,更名
Fan Zhou,番州,番州,0.0,0.0,,Zhou,州,3,601,4,605,4,34194,POLYGON,92265,FROM_FD,张修桂,满志敏,,2005/01/31,更名,更名
Guang Zhou,广州,廣州,0.0,0.0,,Zhou,州,3,606,4,606,4,34195,POLYGON,92266,FROM_FD,张修桂,满志敏,,2005/01/31,更名,更名和辖区变化
Xinhui Jun,新会郡,新會郡,0.0,0.0,,Jun,郡,3,420,4,431,4,92267,POLYGON,92267,FROM_FD,张修桂,满志敏,,2005/01/31,新建,辖区扩大
Xinhui Jun,新会郡,新會郡,0.0,0.0,,Jun,郡,3,432,4,589,4,92268,POLYGON,92268,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,更名
Feng Zhou,封州,封州,0.0,0.0,,Zhou,州,3,590,4,590,4,34199,POLYGON,92269,FROM_FD,张修桂,满志敏,,2005/01/31,更名,更名
Gang Zhou,冈州,岡州,0.0,0.0,,Zhou,州,3,591,4,606,4,34200,POLYGON,92270,FROM_FD,张修桂,满志敏,,2005/01/31,更名,撤销
Suijian Jun,绥建郡,綏建郡,0.0,0.0,,Jun,郡,3,436,4,589,4,34201,POLYGON,92271,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Lechang Jun,乐昌郡,樂昌郡,0.0,0.0,,Jun,郡,3,443,4,589,4,92272,POLYGON,92272,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Pan Zhou,潘州,潘州,0.0,0.0,,Zhou,州,3,627,4,634,4,34168,POLYGON,92273,FROM_FD,张修桂,满志敏,,2005/01/31,新建,撤销
Guilin Jun,桂林郡,桂林郡,0.0,0.0,,Jun,郡,3,-214,4,-207,4,92274,POLYGON,92274,FROM_FD,张修桂,满志敏,,2005/01/31,新建,辖区缩小
Guilin Jun,桂林郡,桂林郡,0.0,0.0,,Jun,郡,3,-206,4,-111,4,92275,POLYGON,92275,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,撤销
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,-110,4,13,4,34205,POLYGON,92276,FROM_FD,张修桂,满志敏,,2005/01/31,新建,更名
Xinguang Jun,新广郡,新廣郡,0.0,0.0,,Jun,郡,3,14,4,22,4,34206,POLYGON,92277,FROM_FD,张修桂,满志敏,,2005/01/31,更名,更名
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,23,4,225,4,92278,POLYGON,92278,FROM_FD,张修桂,满志敏,,2005/01/31,更名,辖区缩小
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,226,4,264,4,92279,POLYGON,92279,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区扩大
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,265,4,350,4,92280,POLYGON,92280,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,辖区缩小
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,351,4,360,4,92281,POLYGON,92281,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区缩小
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,361,4,432,4,92282,POLYGON,92282,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,辖区扩大
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,433,4,478,4,92283,POLYGON,92283,FROM_FD,张修桂,满志敏,,2005/01/31,辖区扩大,辖区缩小
Cangwu Jun,苍梧郡,蒼梧郡,0.0,0.0,,Jun,郡,3,479,4,589,4,92284,POLYGON,92284,FROM_FD,张修桂,满志敏,,2005/01/31,辖区缩小,撤销
